person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q180797,"Anno II, Archbishop of Cologne",Point(6.957777777 50.942222222),1010,20
http://www.wikidata.org/entity/Q312314,Bruno of Cologne,Point(6.957777777 50.942222222),1030,36
http://www.wikidata.org/entity/Q435658,Elizabeth of Schönau,Point(6.957777777 50.942222222),1129,20
http://www.wikidata.org/entity/Q460103,Hermann Joseph,Point(6.957777777 50.942222222),1150,12
http://www.wikidata.org/entity/Q649722,Caesar of Heisterbach,Point(6.957777777 50.942222222),1180,17
http://www.wikidata.org/entity/Q559189,Ulrich of Zell,Point(12.083333333 49.016666666),1029,8
http://www.wikidata.org/entity/Q695950,"Conrad II, Duke of Bavaria",Point(12.083333333 49.016666666),1052,17
http://www.wikidata.org/entity/Q695950,"Conrad II, Duke of Bavaria",Point(12.083333333 49.016666666),1052,17
http://www.wikidata.org/entity/Q3020109,Anselm of Liège,Point(6.957777777 50.942222222),1008,6
http://www.wikidata.org/entity/Q1220795,Diemoth,Point(11.385555555 49.078611111),1060,8
http://www.wikidata.org/entity/Q2039212,"Judith of Bavaria, Duchess of Swabia",Point(11.385555555 49.078611111),1103,18
http://www.wikidata.org/entity/Q2420809,Thiemo,Point(11.385555555 49.078611111),1040,6
http://www.wikidata.org/entity/Q62708,Neidhart von Reuental,Point(11.385555555 49.078611111),1180,22
http://www.wikidata.org/entity/Q95729,William of Hirsau,Point(11.385555555 49.078611111),1030,11
http://www.wikidata.org/entity/Q100206,Mechtildis of Edelstetten,Point(11.385555555 49.078611111),1125,6
http://www.wikidata.org/entity/Q153023,Henry III,Point(11.385555555 49.078611111),1016,56
http://www.wikidata.org/entity/Q84570,Arnold of Selenhofen,Point(8.266666666 50.0),1095,7
http://www.wikidata.org/entity/Q106336,Eleazar of Worms,Point(8.266666666 50.0),1160,9
http://www.wikidata.org/entity/Q61625,Benno,Point(9.95 52.15),1010,23
http://www.wikidata.org/entity/Q69875,Ulrich von Türheim,Point(10.897777777 48.368888888),1190,8
http://www.wikidata.org/entity/Q475973,Gualfardo of Verona,Point(10.897777777 48.368888888),1070,7
http://www.wikidata.org/entity/Q55619,Rainald of Dassel,Point(10.0 51.0),1114,17
http://www.wikidata.org/entity/Q64329,Gertrude of Brunswick,Point(10.521111111 52.269166666),1060,15
http://www.wikidata.org/entity/Q69057,Christian I,Point(10.0 51.0),1130,11
http://www.wikidata.org/entity/Q69241,Adolf III of Holstein,Point(10.0 51.0),1160,16
http://www.wikidata.org/entity/Q95611,Albert I of Käfernburg,Point(10.0 51.0),1170,8
http://www.wikidata.org/entity/Q151457,"Otto IV, Holy Roman Emperor",Point(10.521111111 52.269166666),1175,54
http://www.wikidata.org/entity/Q224611,Beatrice of Swabia,Point(8.365277777 49.631944444),1198,21
http://www.wikidata.org/entity/Q2285815,"William, Count of Weimar-Orlamünde",Point(8.365277777 49.631944444),1112,9
http://www.wikidata.org/entity/Q60094,Henry IV,Point(10.429163 51.906003),1050,67
http://www.wikidata.org/entity/Q61177,Helmold,Point(10.429163 51.906003),1120,23
http://www.wikidata.org/entity/Q151707,Henry V,Point(10.429163 51.906003),1086,51
http://www.wikidata.org/entity/Q254374,Judith of Swabia,Point(10.429163 51.906003),1047,18
http://www.wikidata.org/entity/Q254374,Judith of Swabia,Point(10.429163 51.906003),1054,18
http://www.wikidata.org/entity/Q354677,Adelheid II van Franken,Point(10.429163 51.906003),1045,9
http://www.wikidata.org/entity/Q697892,Saint Meinhard,Point(9.51416 54.470038),1130,17
http://www.wikidata.org/entity/Q69325,"Herman I, Margrave of Baden",Point(7.85 47.995),1040,17
http://www.wikidata.org/entity/Q108921,Siegfried II,Point(8.392013888 50.140138888),1166,8
http://www.wikidata.org/entity/Q108921,Siegfried II,Point(8.392013888 50.140138888),1190,8
http://www.wikidata.org/entity/Q157133,Conrad III of Germany,Point(10.891666666 49.891666666),1093,55
http://www.wikidata.org/entity/Q156041,Albert the Bear,Point(11.2375 51.72),1100,41
http://www.wikidata.org/entity/Q347460,"Adalbert II, Count of Ballenstedt",Point(11.2375 51.72),1030,14
http://www.wikidata.org/entity/Q73417,Berthold,Point(10.891666666 49.891666666),1180,15
http://www.wikidata.org/entity/Q25070,Henry of Latvia,Point(11.639166666 52.131666666),1187,21
http://www.wikidata.org/entity/Q427221,Ida of Toggenburg,Point(10.02 48.321111111),1140,7
http://www.wikidata.org/entity/Q3732351,Saint Ernest,Point(8.924166666 47.800277777),1116,9
http://www.wikidata.org/entity/Q67557,Vicelinus,Point(9.36 52.103055555),1090,12
http://www.wikidata.org/entity/Q99735,"Christian II, Count of Oldenburg",Point(8.213888888 53.143888888),1101,9
http://www.wikidata.org/entity/Q316423,"Casimir I, Duke of Pomerania",Point(13.38333333 54.08333333),1124,11
http://www.wikidata.org/entity/Q470602,"Casimir II, Duke of Pomerania",Point(13.38333333 54.08333333),1180,10
http://www.wikidata.org/entity/Q67390,Judith of Thuringia,Point(10.3065 50.9662),1135,16
http://www.wikidata.org/entity/Q571780,Lambert of Hersfeld,Point(10.865 49.816),1025,14
http://www.wikidata.org/entity/Q61978,Judith of Schweinfurt,Point(10.233333333 50.05),1003,16
http://www.wikidata.org/entity/Q1884931,Gertrude of Saxony,Point(10.233333333 50.05),1030,27
http://www.wikidata.org/entity/Q57520,Hedwig of Silesia,Point(11.184722222 47.966666666),1174,31
http://www.wikidata.org/entity/Q61491,Gertrude of Merania,Point(11.184722222 47.966666666),1185,22
http://www.wikidata.org/entity/Q61876,Agnes of Merania,Point(11.184722222 47.966666666),1175,31
http://www.wikidata.org/entity/Q114158,Hartmann von Brixen,Point(13.466666666 48.566666666),1090,7
http://www.wikidata.org/entity/Q2637611,Albert von Behaim,Point(13.466666666 48.566666666),1180,7
http://www.wikidata.org/entity/Q68490,Hermann of Reichenau,Point(9.544166666 47.931388888),1013,34
http://www.wikidata.org/entity/Q239674,Adolf of Osnabrück,Point(7.8125 52.219444444),1185,14
http://www.wikidata.org/entity/Q788806,Conrad of Bavaria,Point(9.611388888 47.783055555),1105,9
http://www.wikidata.org/entity/Q820923,Samuel of Speyer,Point(8.431111111 49.319444444),1100,6
http://www.wikidata.org/entity/Q1391474,Judah ben Samuel of Regensburg,Point(8.431111111 49.319444444),1140,12
http://www.wikidata.org/entity/Q66608,Conrad of Urach,Point(7.884167 48.025278),1170,15
http://www.wikidata.org/entity/Q105378,Henry the Lion,Point(9.611388888 47.783055555),1129,48
http://www.wikidata.org/entity/Q90628,Otloh of St. Emmeram,Point(11.748888888 48.402777777),1010,9
http://www.wikidata.org/entity/Q1279551,Eberhard of Salzburg,Point(11.766666666 48.8),1085,7
http://www.wikidata.org/entity/Q455181,Conrad II of Italy,Point(9.70224 50.86627),1074,27
http://www.wikidata.org/entity/Q66643,Altmann of Passau,Point(8.0 52.0),1015,11
http://www.wikidata.org/entity/Q77815,"Conrad II, Duke of Merania",Point(11.434166666 48.260277777),1145,11
http://www.wikidata.org/entity/Q64231,Adelheid of Meissen,Point(13.4775 51.163611111),1160,18
http://www.wikidata.org/entity/Q109244,Adam of Bremen,Point(13.4775 51.163611111),1100,50
http://www.wikidata.org/entity/Q263412,Dagmar of Bohemia,Point(13.4775 51.163611111),1186,22
http://www.wikidata.org/entity/Q328140,Albrecht von Johansdorf,Point(12.7479 48.6902),1180,8
http://www.wikidata.org/entity/Q4693058,Agnes II,Point(13.4775 51.163611111),1145,12
http://www.wikidata.org/entity/Q63018,"Henry I, Margrave of the Saxon Ostmark",Point(12.725277777 51.238611111),1070,16
http://www.wikidata.org/entity/Q60790,Jordan of Saxony,Point(9.690277777 51.803333333),1190,19
http://www.wikidata.org/entity/Q58573,Clement II,Point(10.6106 52.0311),1005,70
http://www.wikidata.org/entity/Q651871,Emicho,Point(8.04 49.785),1100,12
http://www.wikidata.org/entity/Q69620,"Otto IV, Count of Wittelsbach",Point(11.466666666 48.5),1083,13
http://www.wikidata.org/entity/Q69620,"Otto IV, Count of Wittelsbach",Point(11.466666666 48.5),1104,13
http://www.wikidata.org/entity/Q96265,Otto II,Point(11.466666666 48.5),1078,8
http://www.wikidata.org/entity/Q96284,Eckhard I,Point(11.466666666 48.5),1050,8
http://www.wikidata.org/entity/Q77259,Otto of Bamberg,Point(11.516666666 49.916666666),1060,25
http://www.wikidata.org/entity/Q77259,Otto of Bamberg,Point(11.516666666 49.916666666),1061,25
http://www.wikidata.org/entity/Q60563,"Otto III or I Wittelsbach, Duke of Bavaria",Point(11.866666666 48.916666666),1117,26
http://www.wikidata.org/entity/Q552286,Louis I,Point(11.866666666 48.916666666),1173,27
http://www.wikidata.org/entity/Q1840149,Richardis of Bavaria,Point(11.866666666 48.916666666),1173,12
http://www.wikidata.org/entity/Q72789,Louis II,Point(10.244722222 51.051388888),1128,15
http://www.wikidata.org/entity/Q3503161,Sophia of Wittelsbach,Point(11.866666666 48.916666666),1170,10
http://www.wikidata.org/entity/Q447185,Jutta von Sponheim,Point(7.716388888 49.833888888),1091,12
http://www.wikidata.org/entity/Q122059,Gerhoh of Reichersberg,Point(12.566666666 48.216666666),1092,8
http://www.wikidata.org/entity/Q70991,Hildegard of Bingen,Point(8.098055555 49.779166666),1098,100
http://www.wikidata.org/entity/Q454580,Otto von Botenlauben,Point(10.355597 50.493105),1177,10
http://www.wikidata.org/entity/Q1481103,Sophie of Winzenburg,Point(9.933055555 51.933055555),1105,9
http://www.wikidata.org/entity/Q1611600,"Herman II, Count of Winzenburg",Point(9.933055555 51.933055555),1150,10
http://www.wikidata.org/entity/Q297194,Valdemar I of Denmark,Point(9.569722222 54.515277777),1131,45
http://www.wikidata.org/entity/Q57994,Hermann von Salza,Point(10.646666666 51.108055555),1170,27
http://www.wikidata.org/entity/Q574428,John of Wildeshausen,Point(8.431388888 52.893055555),1180,9
http://www.wikidata.org/entity/Q18821,Wolfram von Eschenbach,Point(10.72519 49.2264),1170,54
http://www.wikidata.org/entity/Q77189,Lothair III,Point(10.291388888 52.850277777),1075,47
http://www.wikidata.org/entity/Q273609,Matilda of Swabia,Point(10.339444444 51.655555555),1045,8
http://www.wikidata.org/entity/Q273609,Matilda of Swabia,Point(10.339444444 51.655555555),1048,8
http://www.wikidata.org/entity/Q102042,"Herman I, Count of Winzenburg",Point(8.86233 49.6979),1083,10
http://www.wikidata.org/entity/Q241451,Bertha of Sulzbach,Point(11.75 49.5),1110,22
http://www.wikidata.org/entity/Q469830,Gertrude of Sulzbach,Point(11.75 49.5),1114,15
http://www.wikidata.org/entity/Q537154,Kunigunde of Altdorf,Point(9.64172 47.80777),1020,8
http://www.wikidata.org/entity/Q60059,Albertus Magnus,Point(10.433333333 48.566666666),1193,89
http://www.wikidata.org/entity/Q64802,Saint Engelbert,Point(7.152777777 51.137608333),1185,20
http://www.wikidata.org/entity/Q77737,Eike von Repgow,Point(12.066666666 51.799722222),1180,13
http://www.wikidata.org/entity/Q60952,Albert of Riga,Point(8.684169444 53.483644444),1165,24
http://www.wikidata.org/entity/Q387129,Hermann of Dorpat,Point(8.684169444 53.483644444),1163,9
http://www.wikidata.org/entity/Q273609,Matilda of Swabia,Point(10.3169 51.6136),1045,8
http://www.wikidata.org/entity/Q273609,Matilda of Swabia,Point(10.3169 51.6136),1048,8
http://www.wikidata.org/entity/Q72413,"Bernard II, Lord of Lippe",Point(8.37689 51.6881),1140,12
http://www.wikidata.org/entity/Q324175,Siegfried I of Sponheim,Point(7.71472 49.8315),1010,8
http://www.wikidata.org/entity/Q324175,Siegfried I of Sponheim,Point(7.71472 49.8315),1020,8
http://www.wikidata.org/entity/Q467442,"Albert II, Count of Weimar-Orlamünde",Point(11.519166666 50.774722222),1184,9
http://www.wikidata.org/entity/Q60366,Matilda of Frisia,Point(7.566666666 53.483333333),1024,24
http://www.wikidata.org/entity/Q1672669,Siard,Point(7.566666666 53.483333333),1150,6
http://www.wikidata.org/entity/Q70622,Theodwin,Point(9.963274 48.37844),1100,8
http://www.wikidata.org/entity/Q75852,Hartmann von Aue,Point(9.963274 48.37844),1160,39
http://www.wikidata.org/entity/Q451473,Burchard II,Point(9.963274 48.37844),1028,9
